Date,NYSE Group Shares,NYSE Group Trades,NYSE Group Dollar Volume
1/2/08,2022233225,8327632,78103090072
1/3/08,1976744150,7728799,74894201491
1/4/08,2387767436,9499115,88636641527
1/7/08,2501786029,10457893,97144308643
1/8/08,2691172343,10851036,1.00936E+11
1/9/08,2968372905,11869754,1.08326E+11
1/10/08,3013151214,12375604,1.10101E+11
1/11/08,2581457433,10323183,95276590116
1/14/08,2075142644,8230059,77813900664
1/15/08,2625167676,10331004,98202777601
1/16/08,3050291666,12208019,1.14756E+11
1/17/08,3198733330,12908962,1.19686E+11
1/18/08,3538909164,13530263,1.28579E+11
1/22/08,3790772256,15692248,1.37629E+11
1/23/08,4312391886,18158117,1.53063E+11
1/24/08,3295670852,13224842,1.19636E+11
1/25/08,2803554252,11835160,1.04045E+11
1/28/08,2451319564,10176199,90144516954
1/29/08,2361551130,9638384,86893228824
1/30/08,2705302869,11380783,1.01869E+11
1/31/08,3304457458,12840001,1.26554E+11
2/1/08,2651126328,10891007,1.00301E+11
2/4/08,2007384062,8359976,73850045865
2/5/08,2586698001,10495686,96411826415
2/6/08,2387350688,9623962,91464627119
2/7/08,2600091058,11075578,96991871005
2/8/08,2202262828,9366239,80474254285
2/11/08,2129649005,9261517,78965207083
2/12/08,2308633508,9655206,88356106109
2/13/08,2201523283,9057343,83124885965
2/14/08,2107586878,8931394,78632710229
2/15/08,2152338073,8126787,81312287907
2/19/08,2167442322,8792204,80110459117
2/20/08,2271486462,9772215,85505883032
2/21/08,2149870382,8911405,81989031530
2/22/08,2098836003,9004925,77407794238
2/25/08,2246703870,9770131,84445587685
2/26/08,2305964065,9566919,86576040250
2/27/08,2205682316,9275591,83997285946
2/28/08,2199293773,8874615,80578867406
2/29/08,2642831718,9499696,95824493560
3/3/08,2354590270,9656923,83008795183
3/4/08,2702159550,11229082,97614458661
3/5/08,2431326550,10180655,87860210443
3/6/08,2477429976,9986914,85354980361
3/7/08,2607487161,10861595,88983333475
3/10/08,2484921112,10399362,87540742885
3/11/08,3003379483,11989948,1.05992E+11
3/12/08,2440581896,9932775,85301334252
3/13/08,2868328878,11856403,1.00649E+11
3/14/08,2946116135,13206740,1.05582E+11
3/17/08,3212974062,13863409,1.08238E+11
3/18/08,2984956618,12487492,1.04269E+11
3/19/08,3053166705,12566660,1.12917E+11
3/20/08,3846817265,11497242,1.31901E+11
3/24/08,2467857673,10113505,85637997453
3/25/08,2301341223,9356064,81375589122
3/26/08,2225159111,8824521,78102136249
3/27/08,2218343332,9302616,78786933751
3/28/08,2078280245,8187881,70688286997
3/31/08,2468610516,8801517,83338834484
4/1/08,2652782899,10253483,94505164265
4/2/08,2323470658,9898743,83129970717
4/3/08,2082063704,9015581,75473510272
4/4/08,2050342348,8715284,75237201768
4/7/08,2040048652,8542775,75215752338
4/8/08,1945239917,8017107,68327334645
4/9/08,1978130970,8370565,72830476406
4/10/08,2046151096,8619861,74028219032
4/11/08,2022012267,7927706,71560479497
4/14/08,1963925952,7938370,71620088370
4/15/08,1996958223,8339422,72681932720
4/16/08,2357003422,9216288,89841919397
4/17/08,2012005907,8499261,77250771437
4/18/08,2293645075,8802990,91103956526
4/21/08,1836699381,7471397,69971389246
4/22/08,2161036747,8892864,81464661646
4/23/08,2234958713,8957451,83277702798
4/24/08,2382174760,9834426,89136271551
4/25/08,2063838270,8454696,76911382786
4/28/08,1923852255,7529142,72711392875
4/29/08,1989324125,8115223,78874855833
4/30/08,2481456125,9913878,95677304509
5/1/08,2303651114,10066190,90098605424
5/2/08,2091014312,8979795,80136281680
5/5/08,1776830920,7773922,66611855073
5/6/08,2030131346,8733337,77251150974
5/7/08,2110236241,9249032,81869350822
5/8/08,2030942651,8946550,76649109672
5/9/08,1868466399,8153041,69177514566
5/12/08,1799799377,7901915,68551878130
5/13/08,2090572812,8575840,79265228961
5/14/08,2068908179,8455242,79054839646
5/15/08,2035320658,8545176,80038190955
5/16/08,2100385042,8309451,82834845104
5/19/08,1933742094,8477226,76833969008
5/20/08,2074719845,8864008,81500724554
5/21/08,2378757336,10224699,93778630540
5/22/08,2034905549,8728827,77587473662
5/23/08,1835876354,7984556,69678795286
5/27/08,1921042780,7809091,71132009526
5/28/08,2018887201,8631588,76664940535
5/29/08,2011967971,8738760,77781678569
5/30/08,2308021925,7771358,86218790372
6/2/08,1982151804,8823362,75781593539
6/3/08,2242891342,10015475,87782004658
6/4/08,2259443776,9971059,84090836549
6/5/08,2232399730,9429172,84992108251
6/6/08,2530409139,11401241,96593787344
6/9/08,2170296189,9183167,79382548950
6/10/08,2393916335,10585476,87624276444
6/11/08,2404769740,10683042,86877061718
6/12/08,2364039539,10295436,83939166741
6/13/08,2096795262,9265390,74926508040
6/16/08,1927624548,8604080,70523173137
6/17/08,1920133477,8736519,72879739871
6/18/08,2285016887,10122260,82267233178
6/19/08,2371256290,10741544,84587675499
6/20/08,3187370437,10633527,1.1019E+11
6/23/08,2064587038,9392706,72583257712
6/24/08,2391227302,10735788,82631338051
6/25/08,2469858024,11258488,90138984737
6/26/08,2685580508,11443874,91702194737
6/27/08,4482425526,11580884,1.30778E+11
6/30/08,2728504530,11124630,93243969547
7/1/08,2999273211,13863585,1.00727E+11
7/2/08,2754067923,13005563,99273667546
7/3/08,1694982991,8089580,60118841213
7/7/08,2785392118,12957832,93057336438
7/8/08,3120143756,14375848,1.06147E+11
7/9/08,2690738825,12121861,90448173561
7/10/08,2926157180,14251568,94862827702
7/11/08,3338856462,15584908,99817191514
7/14/08,2692964667,12589588,79930450931
7/15/08,3630485151,16535410,1.09088E+11
7/16/08,3406637722,14790037,1.08926E+11
7/17/08,3783572180,16790825,1.27697E+11
7/18/08,2969196230,12181368,1.00565E+11
7/21/08,2387545963,10705422,80709621784
7/22/08,3134193838,14259494,1.02249E+11
7/23/08,3345452444,15217354,1.12204E+11
7/24/08,3112655725,13975842,1.06294E+11
7/25/08,2425838069,11284396,79105646551
7/28/08,2231056516,10492757,72583448615
7/29/08,2755185157,12653018,90489169321
7/30/08,2840319522,13470171,99433050911
7/31/08,2745545556,12199321,92876228675
8/1/08,2344793952,11342545,77265904066
8/4/08,2297415471,11268241,78094320201
8/5/08,2740837016,13062645,95096285125
